Business Name,Address,Phone,Services / Products,Website,Minority Type,Status,Kentucky Based
"*PRADO & RENTERIA CPAS, Prof. Corp.","1837 South Michigan Avenue, Chicago, IL, 60616",312-788-1450,CERTIFIED PUBLIC ACCOUNTANT (CPA) SERVICES,http://www.pradorenteria.com,Minority-Owned (general),Active,No
"1021 Specialist, LLC","321 Wood Rd, Louisville, KY, 40222",502-299-7796,"Office Furniture,Storage Systems, Shelving Installation",http://1021specialist.com,Minority-Owned (general),Active,Yes
"143ENGINEERS, LLC","3249 Plateau Place, Cincinnati, OH, 45241",(513) 476-6271,"Related Services: 541330 - Specializing in civil engineering services, consulting engineers' private practices, engineering consulting services, engineering design services, engineers' private practices, and traffic engineering consulting services

Prequalified Consultant: traffic engineering",https://www.143Engineers.com,Women-Owned,Active,No
"24-7 CONSULTING, LLC","522 S. Hunt Club Blvd., $172, Apopka, FL, 32703",(850) 559-1967,"Consultant: 541511 – Custom Computer Programming Services; 541611 – Administrative Management and General Management Consulting Services; 541612 – Human Resource Consulting Services; 541820 – Public Relations Agencies; 541990 – All Other Professional, Scientific, and Technical Services; and 611430 –",https://www.247ConsultingLLC.com,Women-Owned,Active,No
2JH Rehab & Renovation,"8319 Independence School rd, Louisville, KY, 40228",502-836-3081,"Framing, Drywall, Painting, Roofing, Electric, Plumbing, HVAC",,Minority-Owned (general),No Website,Yes
"2KB ENERGY SERVICES, LLC","1389 Peachtree Street, Atlanta, GA, 30309",(404) 398-4430 Fax: (208) 248-0124,Consultant: 541690 – Specializing in providing energy efficiency services including Energy auditing; Retro-commissioning; Energy efficiency inspections; Energy efficiency program management; Energy consulting; Energy savings performance contracting owners representation; and Energy program administr,https://www.2kbenergyservices.com,Black-Owned,Active,No
3 5 7 Security Solutions LLC,"2608 VERONICA DR, Louisville, KY, 40216",502-931-2728,"3 5 7 Security Solutions is a staffing service for companies who are in need of security services. We can provide security to companies, organizations and event halls that are required to provide security during specific events.",,Minority-Owned (general),No Website,Yes
360 Construction & Remodeling,"5211 Delaware Drive, Louisville, KY, 40218",502-572-9338,"We specialize and do a substantial amount of Residential flooring and fencing. We also do decks, walkways and kitchen and bathroom remodels for residential customers. We provide vinyl, hardwood, and linoleum installations (residential) Along with fence decking, patios and walkways for residential cu",,Minority-Owned (general),No Website,Yes
"7PM GROUP, LLC","10327 Linn Station Road, Louisville, KY, 40223",(502) 550-2547 or (502) 417-4249,"Related Services: 236220 - Specializing in commercial building construction, commercial building construction general contractors, construction management, commercial and institutional building, educational building construction, institutional building construction, office building construction, sch",https://www.7pmgroup.com,Black-Owned,Active,Yes
7PM Group LLC,"10327 Linn Station Rd, Louisville, KY, 40223",502-891-2540,"Construction Management, Diversity Consulting & Construction Product Supplier",http://www.7pmgroup.com,Minority-Owned (general),Active,Yes
84 Lumber Company,"1019 Route 519, Eighty Four, PA, 15330",724-223-8400,"Building Supplies, Installed Sales",http://www.84lumber.com,Women-Owned,Active,No
"A BUSINESS SOLUTIONS COMPANY, LLC d/b/a AFOX SOLUTIONS","1649 Chestnut Court, Covington, KY, 41011",(859) 638-8881,"Related Services: 314999 - Specializing in Badges, fabric, manufacturing; Decorative stitching contractors on apparel; Decorative stitching on textile articles and apparel; Embroidering contractors on apparel; Embroidering on textile products or apparel for trade; Stitching, decorative and novelty, ",https://www.afoxsolutions.com,Women-Owned,Active,Yes
"A D E CONTRACTING, INC.","1044 Duncan Road, Lawrenceburg, KY, 40342",(859) 621-7941 or (859) 879-0164  Fax: (502) 839-3224,"Related Services: 237110 - Specializing in construction of distribution line, sewer and water, sanitary sewer, sewer, sewer main, storm sewer, utility line (i.e., sewer, water), and Water main and line; 237310 - Specializing in asphalt paving (i.e., highway, road, street, public sidewalk), concrete ",https://N/A,Women-Owned,Inactive,Yes
