Commonwealth of Kentucky Minority and Women Business Enterprise Certification Program,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Certified Listing as of May 7, 2026",,,,,,,,,,
,,,,,,,,,,
Name,Expiration ,Type (*),Business Type,Product or Service,Owner,County,City,State,Phone #,Web 
,,,,,,,,,,
"100 Workforce Solutions, LLC",2029-01-30 00:00:00,WBE,Professional Services,"Education, professional and consulting services",Lisa DeVon Rightley-Tucker,,Floyds Knobs,IN,812-416-1040,https://www.100wfsllc.com/home
"1st Legacy Homes, LLC",2029-02-28 00:00:00,MWBE,Consultant,Provide quality long term/short term housing options and provide consulting services and education on building wealth through real estate investments,Latasha Ann Brown,Jefferson,Louisville,KY,931-278-3128,
A.M. Contracting Company,2028-04-30 00:00:00,WBE,Subcontractor,"Telecommunications contractor specializing in directional drilling, rock drilling, excavating, hydro vac and fiber splicing",Amber Willis,Bullitt, Mt. Washington,KY,502-904-0274,
"Abbie Jones Consulting, PSC",2026-11-30 00:00:00,WBE,Professional Services,"Floodplain consulting, storm water & transportation design, erosion control designs & inspections, sanitary design, construction, staking, topographic surveys, urban highway design, traffic counts, elevation certificates, mortgage inspections & residential surveys & subsurface utility engineering (SUE) utility locating",Abbie Jones,Fayette,Lexington,KY,859-559-3443,https://www.abbie-jones.com/
"Abundant Living Psychological and Coaching Services, PLLC",2028-04-30 00:00:00,MWBE,Professional Services,"Counseling, training, consulting, coaching, speaking, mental health provider ","Dr. Shambra Mulder, PhD",Fayette,Lexington,KY,859-229-6823,http://www.abundantlivingpsychologicalandcoachingservices.com/
"Accessibility Consultants, Inc.",2029-02-28 00:00:00,MWBE,Consultant,Expert accessibility consultant,Vera Zimmerman,U.S.A.,Alexandria,VA,703-798-4563,http://www.accessibilityconsultants.net/
"ACS Squared, LLC",2028-01-30 00:00:00,MBE,Professional Services,"Land surveying services, GIS consulting, GPS services, and drone pilot services",Stephen Charles Chino JR,McCracken,Paducah,KY,270-210-8926,
