Vendor Registry
As of 5/29/2026 3:20:43 PM

"The information provided in this file is not to be used for unsolicited advertising, spam, or any other unauthorized use."

"Company Name","DBA Name","Contact Person","Address","City","State","Zip","Phone","Fax","Email","Website","Commodity Codes",
"621 Law Partners/Conliffe Sandmann & Sullivan PLLC","","Teresa Tabler","Waterfront Plaza, 325 West Main Street, Ste. 250","Louisville","KY","	40202","502-587-7711","502-587-7756","ttabler@cssattorneys.com","http://www.cssattorneys.com","5411 - Legal Services",
"A-M Electric Co., Inc.","","Gregory Nefouse","608 Locust Lane","Louisville","KY","	40217","502-584-7878","","amelectric502@gmail.com","http://www.amelectric.com","42 - Wholesale Trade; 423610 - Batteries (except automotive) merchant wholesalers; 423610 - Electric light fixtures merchant wholesalers",
"A. M. LEONARD INC","","Carla Denson","241 FOX DR.","PIQUA","OH","	45356","888-558-8665","800-433-0633","cdenson@amleo.com","http://www.amleo.com","111 - Crop Production; 11141 - Food Crops Grown Under Cover; 11142 - Nursery and Floriculture Production; 113 - Forestry and Logging; 1132 - Forest Nurseries and Gathering of Forest Products; 4239 - Miscellaneous Durable Goods Merchant Wholesalers",
"Abdul Sharif Multimedia","Abdul Sharif Multimedia","Abdul sharif","1337 S 4th St, 3","Louisville","KY","	40208","502-759-9254","","abdul@abdulsharifshoots.com","http://www.abdulsharifshoots.com","541922 - Commercial photography services",
"ABN Restoration, Inc.","","Scott Gorbandt","6244 Old LaGrange Road	, Suite #1","Crestwood","KY","	40014","502-241-0250","502-241-0107","i_abn@bellsouth.net","","23 - Construction",
"AboveTraining Inc.","StateFoodSafety","Tiffani Williams","711 Timpanogos Parkway, BLDG M STE 3100","Orem","UT","	84097","801-494-1416","801-266-4315","regulatory@statefoodsafety.com","http://www.statefoodsafety.com","812990 - All Other Personal Services",
"ADAPCO, LLC","","Kathy Russell","100 Colonial Center Parkway, Suite 170","Lake Mary","FL","	32746","800-367-0659","866-330-9888","aes.vectorbids@azelis.com","http://www.myadapco.com","3253 - Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing; 32532 - Pesticide and Other Agricultural Chemical Manufacturing; 325320 - Exterminating chemical products (e.g., fungicides, insecticides, pesticides) manufacturing; 325320 - Malathion insecticides manufacturing; 325320 - Organo-phosphate based insecticides manufacturing; 325320 - Pesticide and Other Agricultural Chemical Manufacturing; 333111 - Sprayers and dusters, farm-type, manufacturing; 333912 - Sprayers, manual pump, general purpose-type, manufacturing; 423820 - Sprayers, farm-type, merchant wholesalers; 424690 - Pesticides (except agricultural) merchant wholesalers",
"AECOM Technical Services, Inc.","AECOM","Kevin Dant","250 Apollo Drive","Chelmsford","MA","	01824","215-789-2090","","joel.cummings@aecom.com","http://www.aecom.com","54 - Professional, Scientific, and Technical Services; 56 - Administrative and Support and Waste Management and Remediation Services",
"AFM Local11-637","Louisville Federation of Musicians","Lisa Weaver","1436 Bardstown Road","Louisville","KY","	40204","502-451-7509","502-451-4489","musunion@louisvillemusicians.org","http://www.louisvillemusicians.org","71 - Arts, Entertainment, and Recreation",
"Allied-Central","Allied Cleaning Solutions","Bill Gray","11600 Commonwealth Drive","Louisville","KY","	40299","502-261-1600","502-261-9394","bgray@alliedcleans.com","","424120 - Paper, office (e.g., printer, copier), merchant wholesalers; 424120 - Tapes, cellophane, merchant wholesalers; 424130 - Bags, paper and disposable plastics, merchant wholesalers; 424130 - Cups, paper and disposable plastics, merchant wholesalers; 424130 - Disposable plastics products (e.g., boxes, cups, cutlery, dishes, sanitary food containers) merchant wholesalers; 424130 - Facial tissue merchant wholesalers; 424130 - Paper (except office supplies, printing paper, stationery, writing paper) merchant wholesalers; 424130 - Personal sanitary paper products merchant wholesalers; 424130 - Plastics bags merchant wholesalers; 424130 - Shipping supplies, paper and disposable plastics, merchant wholesalers; 424130 - Tissue paper, toilet and facial, merchant wholesalers; 424130 - Toilet tissue merchant wholesalers; 424130 - Waxed paper merchant wholesalers; 424130 - Paper towels merchant wholesalers; 424690 - Cleaning compounds and preparations merchant wholesalers; 424690 - Detergents merchant wholesalers; 424690 - Janitorial chemicals merchant wholesalers; 424690 - Laundry soap, chips, and powder, merchant wholesalers; 424690 - Polishes (e.g., automobile, furniture, metal, shoe, stove) merchant wholesalers; 424690 - Salts, industrial, merchant wholesalers; 424690 - Disinfectants (except agricultural) merchant wholesalers; 424690 - Fabric softeners merchant wholesalers",
"Allison Consulting Group, LLC","QT Homes and Business Services","Keith Allison","4621 Outer Loop","Louisville","KY","	40219","502-206-2816","","services@qthomesandbusiness.com","http://qthomesandbusiness.com","238910 - Demolition, building and structure; 561720 - Window cleaning services; 561730 - Seasonal property maintenance services (i.e., snow plowing in winter, landscaping during other seasons)",
"Alpha Mechanical Service, LLC","","Dawn Donoho","7200 Distribution Drive","Louisville","KY","	40258","502-400-4605","502-400-4905","dawn.donoho@aamservice.com","","238210 - Fire alarm system, electric, installation only; 238220 - Air system balancing and testing; 238220 - Air vent installation; 238220 - Air-conditioning system (except window) installation; 238220 - Bathroom plumbing fixture and sanitary ware installation; 238220 - Blower or fan, cooling and dry heating, installation; 238220 - Boiler chipping, cleaning and scaling; 238220 - Boiler, heating, installation; 238220 - Central air-conditioning equipment installation; 238220 - Central cooling equipment and piping installation; 238220 - Central heating equipment and piping installation; 238220 - Chilled water system installation; 238220 - Commercial freezer installation; 238220 - Commercial refrigeration system installation; 238220 - Cooling tower installation; 238220 - Drain, waste and vent system installation; 238220 - Dry heating equipment installation; 238220 - Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation) installation; 238220 - Exhaust system (e.g., kitchens, industrial work areas) installation; 238220 - Fire sprinkler system installation; 238220 - Furnace conversion (i.e., from one fuel to another); 238220 - Furnace humidifier installation; 238220 - Furnace installation; 238220 - Furnace, forced air, installation; 238220 - Gas fitting contractor; 238220 - Gas line installation, individual hookup, contractors; 238220 - Heat pump installation; 238220 - Heating and cooling duct work installation; 238220 - Heating and ventilation system component (e.g., air registers, diffusers, filters, grilles, sound attenuators) installation; 238220 - Heating boiler installation; 238220 - Heating contractors; 238220 - Heating equipment installation; 238220 - Heating, ventilation and air-conditioning (HVAC) contractors; 238220 - Hot water heating system installation; 238220 - Hot water tank installation; 238220 - HVAC (heating, ventilation and air-conditioning) contractors; 238220 - Hydronic heating system installation; 238220 - Kitchen sink and hardware installation; 238220 - Mechanical contractors; 238220 - Natural gas piping installation; 238220 - Pipe fitting contractors; 238220 - Plumbers; 238220 - Plumbing and heating contractors; 238220 - Plumbing contractors; 238220 - Plumbing fixture installation; 238220 - Plumbing, Heating, and Air-Conditioning Contractors; 238220 - Process piping installation; 238220 - Pumping system, water, installation; 238220 - Refrigeration system (e.g., commercial, industrial, scientific) installation; 238220 - Sheet metal duct work installation; 238220 - Sump pump installation; 238220 - Ventilating contractors; 238220 - Warehouse refrigeration system installation; 238220 - Warm air heating system installation; 238220 - Water system balancing and testing contractors; 561621 - Fire alarm monitoring services",
"Always Doing Something Inc","","Wayne Warren","1729 Marlow Rd","Louisville","KY","	40216","502-419-0181","","alwaysdoingsomething502@gmail.com","","236 - Construction of Buildings; 236117 - For-sale builders (i.e., building on own land, for sale), residential; 236117 - For-sale builders (i.e., building on own land, for sale), single-family housing; 484230 - Rubbish hauling without collection or disposal, truck, long-distance; 53 - Real Estate and Rental and Leasing; 531 - Real Estate",
"AMERICAN LEGAL PUBLISHING CORP","","Ray Bollhauer","One West Fourth Street, 3rd Floor","Cincinnati","OH","	45202","800-455-5588","513-763-3562","rbollhauer@amlegal.com","http://www.amlegal.com","54 - Professional, Scientific, and Technical Services; 54199 - All Other Professional, Scientific, and Technical Services",
"Applied Technical Services, Inc.","","Lori Kendall","1049 Triad Ct.","Marietta","GA","	30062","770-423-1400","770-514-3299","customerservice@atslab.com","http://atslab.com","541330 - Construction engineering services; 541330 - Consulting engineers' offices; 541330 - Engineering services",
"Area 502 Mixed Martial Arts","Area 502 MMA","Gabriela Perkins","3099 Breckenridge Ln","Louisville","KY","	40220","502-644-6019","","area502info@gmail.com","http://area502mma.com","61 - Educational Services; 81 - Other Services (except Public Administration)",
"Asset & Security Services, LLC","","Angela Hill","7619 Johnson School Rd","Louisville","KY","	40291","502-751-5466","","aandssllc@gmail.com","","922190 - Other Justice, Public Order, and Safety Activities",
"Astute Sourcing, LLC","","Dorothy Abernathy","314 Brookside Drive","Danville","KY","	40422","502-499-9440","502-499-9404","info@tktandassociates.com","http://www.astute-sourcing.com","561311 - Employment Placement Agencies; 561320 - Contract staffing services",
"ATIS Elevator Inspections LLC","","Lisa Quinn","600 Emerson Road, Suite #225","Creve Coeur","MO","	63141","314-441-3999","314-942-7100","lquinn@atis.com","http://atis.com","541330 - Engineering services; 541350 - Building Inspection Services; 541618 - Other Management Consulting Services; 541690 - Other Scientific and Technical Consulting Services",
