Business Name,Address,Phone,Services / Products,Website,Minority Type
1857 Hotel,"Paducah, KY",,Hotel accommodations,https://www.insidehook.com,LGBTQ+-Owned
26th St. Liqours,"Louisville, KY 40211",+1 502-776-8001,,https://www.buyblack.org,Black-Owned
3868 PURE FADEZ,"Louisville, KY 40222",+1 502-795-1713,,https://www.buyblack.org,Black-Owned
4 Hounds Gear & Grooming,,,Pet accessories and supplies,https://www.visitcincy.com,LGBTQ+-Owned
502 NOTARY ALL,"Louisville, KY 40215",+1 502-975-5802,,https://www.buyblack.org,Black-Owned
721 Mint It Herb & Juice Bar LLC,"Louisville, KY 40202",+1 502-702-1271,,https://www.buyblack.org,Black-Owned
859 Social Club Soul Food Restaurant,"Lexington, Kentucky",,Soul Food,https://www.supportblackowned.com,Black-Owned
A Purposeful Ponte Studio,"Louisville, KY 40218",+1 502-324-5244,,https://www.buyblack.org,Black-Owned
A Touch Of Jolie,"Louisville, KY 40216",(502) 309-9754,,https://www.buyblack.org,Black-Owned
AA Auto & Detailing,"Louisville, KY 40210",+1 502-999-2070,,https://www.buyblack.org,Black-Owned
"AAA Professional Home Inspectors, LLC","Louisville, KY 40218",5027764663,Inspects houses and commercial buildings for prospective buyers to provide them with the condition of the home/building prior to purchasing,https://www.buyblack.org,Black-Owned
ADBI Studios,"Lexington, 40507, Kentucky",+1 859-550-4956,,https://www.buyblack.org,Black-Owned
AFIA African Foods,"Louisville, 40218, United States of America",502-994-3380,African Foods,https://www.buyblack.org,Black-Owned
ARS Poetica,"Louisville, KY",,Creative events agency for typewriter poets and performance artists,https://www.leoweekly.com,Women-Owned
Aaa Transmissions,"Louisville, Kentucky, 40216, United States",,Automotive Services,https://www.buyblack.org,Black-Owned
Absa hair braiding,"Louisville, 40220, United States of America",502-797-0798,Hair braiding,https://www.buyblack.org,Black-Owned
Absolute Roofing LLC,"Louisville, 40214, United States of America",786-914-9139,Roofing,https://www.buyblack.org,Black-Owned
Abyssinia,"Louisville, KY",,Authentic Ethiopian cuisine,https://www.ebony.com,Black-Owned
Aconav,"Phoenix, Arizona",,Couture fashion brand celebrating indigenous women,https://www.powwows.com,Native American-Owned
Addis Ababa Ethiopian Bar & Restaurant,"Louisville, 40218, United States of America",502-384-0064,Ethiopian Bar & Restaurant,https://www.buyblack.org,Black-Owned
Addis Grill,"Louisville, 40202, United States of America",502-581-1011,"Vegan restaurant, Mediterranean and Ethiopian Restaurant",https://www.buyblack.org,Black-Owned
Adele'S Southern Cooking & Bbq,"Louisville, Kentucky, 40216, United States",,Family owned Restaurant,https://www.buyblack.org,Black-Owned
Adrian's Barbershop,"67 Eeffoc, Lexington, 40513, Kentucky",+1 859-785-7016,Barbershop,https://www.buyblack.org,Black-Owned
Aesha African Hair Braiding,"Louisville, 40218, United States of America",502-296-4598,Hair braiding,https://www.buyblack.org,Black-Owned
African American Chamber of Commerce of Greater Cincinnati/Northern Kentucky,,,,https://usblackchambers.org,Black-Owned
